city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Oriximina,1,BR,1562897253,75,-1.77,-55.87,78.84,4.61
Chuy,100,UY,1562897254,89,-33.69,-53.46,56.52,8.1
Hambantota,20,LK,1562897255,100,6.12,81.12,78.8,4.7
Chapais,90,CA,1562897256,100,49.78,-74.86,64.4,2.24
Pundaguitan,59,PH,1562897257,77,6.37,126.17,81.24,5.61
Riverton,1,US,1562897259,11,43.02,-108.38,93.2,15.43
Asbe Teferi,97,ET,1562897227,75,9.08,40.87,64.61,8.66
Coihaique,100,CL,1562897261,98,-45.58,-72.07,32,2.28
Cervo,0,BR,1562897262,63,-22.19,-46.24,51.75,4.34
Tortoli,5,IT,1562897263,88,39.93,9.66,75.2,11.41
Nuuk,2,GL,1562897125,93,64.17,-51.74,42.8,5.82
Nikki,85,BJ,1562897267,80,9.94,3.21,70.31,7.74
Quatre Cocos,20,MU,1562897268,82,-20.21,57.76,68,6.93
Brunico,75,IT,1562897269,93,46.8,11.94,55.4,1.12
White Oak,100,US,1562897270,100,39.04,-76.99,73.99,5.99
Flin Flon,64,CA,1562897271,87,54.77,-101.88,55.57,2.28
Saint-Pierre,0,FR,1562897273,77,48.95,4.24,66.2,6.93
Piterka,100,RU,1562897274,85,50.68,47.44,60.3,5.19
Lagoa,20,PT,1562897275,94,37.14,-8.45,70,5.82
River Falls,1,US,1562897276,52,44.86,-92.63,80.6,6.69
Hailar,33,CN,1562897279,42,49.2,119.7,80.57,2.8
Clyde River,90,CA,1562897281,93,70.47,-68.59,39.2,16.11
Taoudenni,42,ML,1562897282,19,22.68,-3.98,96.65,8.77
Faanui,7,PF,1562897283,69,-16.48,-151.75,78.27,5.59
Okhotsk,54,RU,1562897284,61,59.36,143.24,70.2,10.65
Liku,38,ID,1562897285,73,-0.73,119.89,81.94,10
Pisco,0,PE,1562897286,82,-13.71,-76.2,62.6,9.17
Galesong,20,ID,1562897018,62,-5.32,119.37,84.2,6.93
Forbes,99,AU,1562897290,72,-33.38,148.01,55.99,1.01
Moctezuma,100,MX,1562897291,46,29.81,-109.68,80.41,5.17
Igarka,100,RU,1562897292,90,67.47,86.57,58.93,17.81
Sechura,0,PE,1562897294,87,-5.56,-80.82,64.01,10.22
Lata,28,IN,1562897295,90,30.78,78.62,48.73,6.29
Isla Vista,0,US,1562897296,47,34.41,-119.86,84.99,12.75
Araouane,94,ML,1562897298,30,18.9,-3.53,92.78,11.79
Novomykolayivka,14,UA,1562897299,91,48.54,32.26,52.31,5.48
Meulaboh,100,ID,1562897227,80,4.14,96.13,81.81,6.26
Manokwari,33,ID,1562897071,78,-0.87,134.08,78.7,6.06
Lerwick,81,GB,1562897303,87,60.15,-1.15,51.8,12.75
Mersing,34,MY,1562897304,54,2.43,103.84,86.96,4.68
Killybegs,100,IE,1562897306,95,54.63,-8.45,55,1.99
Aykhal,90,RU,1562897307,87,65.95,111.51,59,2.24
Kieta,100,PG,1562897309,75,-6.22,155.63,81.87,2.26
Kirakira,74,SB,1562897310,74,-10.46,161.92,83.92,12.44
Quirinopolis,0,BR,1562897311,40,-18.45,-50.45,62.18,1.01
Elko,1,US,1562897312,15,40.83,-115.76,93.2,8.05
Namatanai,100,PG,1562897313,69,-3.66,152.44,79.33,25.01
Torbay,90,CA,1562897048,100,47.66,-52.73,48,10.29
Bazaliya,0,UA,1562897316,96,49.71,26.47,49.13,8.41
Innisfail,38,AU,1562897317,72,-17.52,146.03,68,5.99
Saint-Philippe,90,CA,1562897259,94,45.36,-73.48,68,3.36
Bowen,0,AU,1562897319,53,-20.01,148.25,77,9.17
Mahebourg,20,MU,1562897321,82,-20.41,57.7,68,6.93
Inhambane,0,MZ,1562897322,89,-23.87,35.38,57.37,3.83
Alta Floresta,0,BR,1562897324,73,-9.87,-56.08,71.6,1.12
Imbituba,0,BR,1562897325,93,-28.24,-48.67,60.8,3.36
Medea,20,DZ,1562897326,93,36.27,2.77,66.2,2.1
Ancud,90,CL,1562897327,93,-41.87,-73.83,46.4,14.99
Puerto Escondido,90,MX,1562897328,78,15.86,-97.07,82.4,1.03
Nadvoitsy,100,RU,1562897330,95,63.89,34.27,42.02,8.23
Black River,20,JM,1562897331,58,18.03,-77.85,87.8,6.93
Deputatskiy,74,RU,1562897332,41,69.3,139.9,72.54,10.29
Ambilobe,1,MG,1562897333,78,-13.19,49.05,69.23,8.75
Praia da Vitoria,0,PT,1562897334,94,38.73,-27.07,68,1.12
Ichinoseki,75,JP,1562897335,93,38.93,141.13,66.2,10.29
Half Moon Bay,90,US,1562897337,93,37.46,-122.43,73.99,13.87
Bulembu,0,SZ,1562897338,26,-25.95,31.13,60.8,6.93
Haicheng,9,CN,1562897339,48,40.85,122.74,84.77,10.04
Lamar,1,US,1562897340,36,38.09,-102.62,91.4,23.04
Codrington,0,AU,1562897341,28,-28.95,153.24,71.01,11.41
Puerto Baquerizo Moreno,100,EC,1562897343,83,-0.9,-89.6,71.64,13
Morrope,75,PE,1562897345,29,-6.54,-80.02,66.2,12.75
Archidona,53,EC,1562897346,96,-0.91,-77.81,57.71,4.63
Mayna,100,RU,1562897347,65,53,91.49,62.79,5.5
Mitu,0,IR,1562897349,24,36.2,46.09,69.36,3.76
Ostersund,76,SE,1562897225,87,63.18,14.64,55.4,5.82
Hasaki,75,JP,1562897351,94,35.73,140.83,70,8.05
Itoman,75,JP,1562897352,79,26.12,127.67,87.8,10.29
Itaituba,0,BR,1562897353,74,-4.26,-55.99,73.62,2.21
Demba,100,CD,1562897354,66,-5.47,22.27,72.24,1.88
Sinnamary,2,GF,1562897356,81,5.38,-52.96,80.3,14.88
Vilyuysk,41,RU,1562897357,35,63.75,121.63,85.14,5.57
Scicli,0,IT,1562897359,77,36.79,14.7,69.8,3.36
Khorramshahr,0,IR,1562897360,40,30.43,48.18,89.6,9.17
Goderich,9,CA,1562897361,92,43.74,-81.71,63,20.76
Turbat,75,PK,1562897363,71,26,63.05,82.59,3.29
Lima,90,PE,1562897364,82,-12.06,-77.04,62.6,12.75
Villamontes,92,BO,1562897365,77,-21.26,-63.47,65.87,4.47
Victoria,75,BN,1562897091,79,5.28,115.24,84.2,5.82
